id_ofertas;Categoria/Prioridad;Ciudad;Portafolio;OFERTA;Decos;Tarifa Plena Estrato 1-2;Tarifa Plena Estrato 3;Tarifa Plena Estrato 4;Tarifa Plena Estrato 5-6;Descuento Estrato 1-2;Descuento Estrato 3;Descuento Estrato 4;Descuento Estrato 5-6;Tarifa Final Estrato 1-2;Tarifa Final Estrato 3;Tarifa Final Estrato 4;Tarifa Final Estrato 5-6;Aplica Tecnologia;Portafolio Claro;Oferta Claro;Decos Claro;Estrato 1-2 Claro;Estrato 3 Claro;Estrato 4 Claro;Estrato 5-6 Claro;PortafolioMovistar;OfertaMovistar;DecosMovistar;Estrato1-2Movistar;Estrato3Movistar;Estrato4Movistar;Estrato5-6Movistar
1;4;ARMENIA, BARRANQUILLA, BELLO, BOGOTA, BUCARAMANGA, CALDAS, CALI, CARTAGENA, COPACABANA, CUCUTA, DOSQUEBRADAS, ENVIGADO, GIRARDOTA, GIRON, IBAGUE, ITAGUI, LA CEJA, LA ESTRELLA, MANIZALES, MEDELLIN, MONTERIA, PALMIRA, PASTO, PEREIRA, PIEDECUESTA, POPAYAN, RIONEGRO, SABANETA, SANTA MARTA, SINCELEJO, SOACHA, SOLEDAD, TULUA, TUNJA, VALLEDUPAR, VILLAVICENCIO;DUO INTERNET + TO;DUO PLAY 30 MEGAS + TO LOCAL ILIMITADA;;$ 113,00;$ 113,00;$ 123,57;$ 123,57;40%;40%;40%;40%;$ 67,80;$ 67,80;$ 74,14;$ 74,14;HFC;DUO INTERNET + TO;;;;;;;;;;;;;
2;3;ARMENIA, BARRANQUILLA, BELLO, BOGOTA, BUCARAMANGA, CALDAS, CALI, CARTAGENA, COPACABANA, CUCUTA, DOSQUEBRADAS, ENVIGADO, GIRARDOTA, GIRON, IBAGUE, ITAGUI, LA CEJA, LA ESTRELLA, MANIZALES, MEDELLIN, MONTERIA, PALMIRA, PASTO, PEREIRA, PIEDECUESTA, POPAYAN, RIONEGRO, SABANETA, SANTA MARTA, SINCELEJO, SOACHA, SOLEDAD, TULUA, TUNJA, VALLEDUPAR, VILLAVICENCIO;DUO INTERNET + TO;DUO PLAY 60 MEGAS + TO LOCAL ILIMITADA;;$ 133,00;$ 133,00;$ 143,57;$ 143,57;45%;45%;45%;45%;$ 73,15;$ 73,15;$ 78,96;$ 78,96;HFC;DUO INTERNET + TO;DUO 75 MB + TO LOCAL ILIMITADA + 30 MIN LDI;-;$ 83.900;$ 83.900;N/A;N/A;;;;;;;
3;1;ARMENIA, BARRANQUILLA, BELLO, BOGOTA, BUCARAMANGA, CALDAS, CALI, CARTAGENA, COPACABANA, CUCUTA, DOSQUEBRADAS, ENVIGADO, GIRARDOTA, GIRON, IBAGUE, ITAGUI, LA CEJA, LA ESTRELLA, MANIZALES, MEDELLIN, MONTERIA, PALMIRA, PASTO, PEREIRA, PIEDECUESTA, POPAYAN, RIONEGRO, SABANETA, SANTA MARTA, SINCELEJO, SOACHA, SOLEDAD, TULUA, TUNJA, VALLEDUPAR, VILLAVICENCIO;DUO INTERNET + TO;DUO PLAY 100 LLEVA 200 MEGAS + TO LOCAL ILIMITADA gratis;;$ 98,00;$ 98,00;$ 116,62;$ 116,62;30%;30%;40%;40%;$ 68,60;$ 68,60;$ 69,97;$ 69,97;HFC;DUO INTERNET + TO;DUO 100 MB + TO LOCAL ILIMITADA + 30 MIN LDI;-;$ 90.900;$ 90.900;$ 112.900;$ 112.900;;;;;;;
4;2;ARMENIA, BARRANQUILLA, BELLO, BOGOTA, BUCARAMANGA, CALDAS, CALI, CARTAGENA, COPACABANA, CUCUTA, DOSQUEBRADAS, ENVIGADO, GIRARDOTA, GIRON, IBAGUE, ITAGUI, LA CEJA, LA ESTRELLA, MANIZALES, MEDELLIN, MONTERIA, PALMIRA, PASTO, PEREIRA, PIEDECUESTA, POPAYAN, RIONEGRO, SABANETA, SANTA MARTA, SINCELEJO, SOACHA, SOLEDAD, TULUA, TUNJA, VALLEDUPAR, VILLAVICENCIO;DUO INTERNET + TO;DUO PLAY 300 MEGAS  + TO LOCAL ILIMITADA gratis;;$ 213,00;$ 213,00;$ 218,57;$ 218,57;55%;55%;55%;55%;$ 95,85;$ 95,85;$ 98,36;$ 98,36;HFC;DUO INTERNET + TO;DUO 300 MB + TO LOCAL ILIMITADA + 30 MIN LDI;-;$ 230.900;$ 230.900;$ 239.900;$ 239.900;;;;;;;
5;3;ARMENIA, BARRANQUILLA, BELLO, BOGOTA, BUCARAMANGA, CALDAS, CALI, CARTAGENA, COPACABANA, CUCUTA, DOSQUEBRADAS, ENVIGADO, GIRARDOTA, GIRON, IBAGUE, ITAGUI, LA CEJA, LA ESTRELLA, MANIZALES, MEDELLIN, MONTERIA, PALMIRA, PASTO, PEREIRA, PIEDECUESTA, POPAYAN, RIONEGRO, SABANETA, SANTA MARTA, SINCELEJO, SOACHA, SOLEDAD, TULUA, TUNJA, VALLEDUPAR, VILLAVICENCIO;TRIPLES;TRIPLE PLAY 60 MEGAS + TV ESPECIAL + TO LOCAL ILIMITADA ESPECIAL;1 HDS;$ 125,00;$ 125,00;$ 163,57;$ 163,57;20%;35%;45%;45%;$ 100,00;$ 81,25;$ 89,96;$ 89,96;HFC;TRIPLES;TRIO 75 MB + TV PLUS + TO LOCAL ILIMITADA + 30 MIN LDI;-;$ 113.900;$ 113.900;N/A;N/A;;;;;;;
6;1;ARMENIA, BARRANQUILLA, BELLO, BOGOTA, BUCARAMANGA, CALDAS, CALI, CARTAGENA, COPACABANA, CUCUTA, DOSQUEBRADAS, ENVIGADO, GIRARDOTA, GIRON, IBAGUE, ITAGUI, LA CEJA, LA ESTRELLA, MANIZALES, MEDELLIN, MONTERIA, PALMIRA, PASTO, PEREIRA, PIEDECUESTA, POPAYAN, RIONEGRO, SABANETA, SANTA MARTA, SINCELEJO, SOACHA, SOLEDAD, TULUA, TUNJA, VALLEDUPAR, VILLAVICENCIO;TRIPLES;TRIPLE PLAY 100 LLEVA 200 MEGAS + TV CLASICA HD + TO LOCAL ILIMITADA;2 HDS;$ 158,00;$ 158,00;$ 180,67;$ 180,67;35%;35%;40%;40%;$ 102,70;$ 102,70;$ 108,40;$ 108,40;HFC;TRIPLES;TRIO 100 MB + TV PLUS + TO LOCAL ILIMITADA + 30 MIN LDI;-;$ 133.900;$ 133.900;$ 142.900;$ 142.900;;;;;;;
7;2;ARMENIA, BARRANQUILLA, BELLO, BOGOTA, BUCARAMANGA, CALDAS, CALI, CARTAGENA, COPACABANA, CUCUTA, DOSQUEBRADAS, ENVIGADO, GIRARDOTA, GIRON, IBAGUE, ITAGUI, LA CEJA, LA ESTRELLA, MANIZALES, MEDELLIN, MONTERIA, PALMIRA, PASTO, PEREIRA, PIEDECUESTA, POPAYAN, RIONEGRO, SABANETA, SANTA MARTA, SINCELEJO, SOACHA, SOLEDAD, TULUA, TUNJA, VALLEDUPAR, VILLAVICENCIO;TRIPLES;TRIPLE PLAY 300 MEGAS + TV CLASICA HD + TO LOCAL ILIMITADA;2 HDS;$ 273,00;$ 273,00;$ 283,57;$ 283,57;50%;50%;50%;50%;$ 136,50;$ 136,50;$ 141,79;$ 141,79;HFC;TRIPLES;TRIO 300 MB + TV PLUS + TO LOCAL ILIMITADA + 30 MIN LDI;-;$ 239.900;$ 239.900;$ 248.900;$ 248.900;;;;;;;
8;3;ARMENIA, BARRANQUILLA, BELLO, BOGOTA, BUCARAMANGA, CALDAS, CALI, CARTAGENA, COPACABANA, CUCUTA, DOSQUEBRADAS, ENVIGADO, GIRARDOTA, GIRON, IBAGUE, ITAGUI, LA CEJA, LA ESTRELLA, MANIZALES, MEDELLIN, MONTERIA, PALMIRA, PASTO, PEREIRA, PIEDECUESTA, POPAYAN, RIONEGRO, SABANETA, SANTA MARTA, SINCELEJO, SOACHA, SOLEDAD, TULUA, TUNJA, VALLEDUPAR, VILLAVICENCIO;DUO INTERNET + TV;DUO PLAY 60 MEGAS + TV ESPECIAL;1 HDS;$ 120,00;$ 120,00;$ 153,57;$ 153,57;20%;35%;45%;45%;$ 96,00;$ 78,00;$ 84,46;$ 84,46;HFC;DUO INTERNET + TV;;;;;;;;;;;;;
9;1;ARMENIA, BARRANQUILLA, BELLO, BOGOTA, BUCARAMANGA, CALDAS, CALI, CARTAGENA, COPACABANA, CUCUTA, DOSQUEBRADAS, ENVIGADO, GIRARDOTA, GIRON, IBAGUE, ITAGUI, LA CEJA, LA ESTRELLA, MANIZALES, MEDELLIN, MONTERIA, PALMIRA, PASTO, PEREIRA, PIEDECUESTA, POPAYAN, RIONEGRO, SABANETA, SANTA MARTA, SINCELEJO, SOACHA, SOLEDAD, TULUA, TUNJA, VALLEDUPAR, VILLAVICENCIO;DUO INTERNET + TV;DUO PLAY 100 LLEVA 200 MEGAS + TV CLASICA HD;2 HDS;$ 148,00;$ 148,00;$ 171,62;$ 171,62;35%;35%;40%;40%;$ 96,20;$ 96,20;$ 102,97;$ 102,97;HFC;DUO INTERNET + TV;DUO 100 MB + TV DIGITAL PLUS;-;$ 120.900;$ 120.900;$ 135.900;$ 135.900;;;;;;;
10;2;ARMENIA, BARRANQUILLA, BELLO, BOGOTA, BUCARAMANGA, CALDAS, CALI, CARTAGENA, COPACABANA, CUCUTA, DOSQUEBRADAS, ENVIGADO, GIRARDOTA, GIRON, IBAGUE, ITAGUI, LA CEJA, LA ESTRELLA, MANIZALES, MEDELLIN, MONTERIA, PALMIRA, PASTO, PEREIRA, PIEDECUESTA, POPAYAN, RIONEGRO, SABANETA, SANTA MARTA, SINCELEJO, SOACHA, SOLEDAD, TULUA, TUNJA, VALLEDUPAR, VILLAVICENCIO;DUO INTERNET + TV;DUO PLAY 300 MEGAS + TV CLASICA HD;2 HDS;$ 263,00;$ 263,00;$ 273,57;$ 273,57;50%;50%;50%;50%;$ 131,50;$ 131,50;$ 136,79;$ 136,79;HFC;DUO INTERNET + TV;DUO 300 MB + TV DIGITAL PLUS;-;$ 235.900;$ 235.900;$ 246.899;$ 246.899;;;;;;;
